Date,ABT,AAPL,T,BAC,BRK-B,CVX,CSCO,C,KO,COP,XOM,GE,GS,GOOG,HPQ,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,ORCL,PEP,PFE,PG,SLB,VZ,WMT,WFC
20070329,0.00099265,0.00546976,0.00586963,0.00824421,-0.00013873,0.01167905,-0.01050584,0.00881152,0.00414174,-0.00113287,0.00898716,0.00000000,0.00209969,-0.00207846,0.00514801,0.00327536,0.01227352,0.00556380,0.01059752,0.00074944,0.01675978,0.00425203,-0.00055772,0.01120252,0.00904762,0.00400697,0.01942771,0.00911458,0.00160994,0.01193548
20070330,-0.00019833,-0.00896000,0.00644963,-0.00331492,0.01012904,-0.01319340,0.00393236,-0.00127823,-0.00229148,-0.01182761,-0.01032094,-0.00548387,-0.00274383,-0.00598802,0.00358515,-0.00326466,0.00230947,-0.00129104,-0.00245426,0.00424363,0.00497122,0.00423403,-0.00167411,-0.00051930,-0.00566305,-0.00156169,-0.02215985,0.00935484,0.00505166,-0.00318776
20070402,0.00019837,0.00796470,0.00091547,-0.01152993,-0.01016484,0.01169857,-0.00509205,-0.00554608,0.01079467,-0.00229546,0.00928571,-0.00194616,-0.00475238,0.00080758,0.00408267,0.01005195,0.00000000,-0.00277008,-0.00290763,-0.00521999,0.01900547,-0.00459946,0.00055897,-0.00259785,0.00284765,-0.00225930,0.02477716,-0.00223714,0.00959561,-0.01215222
20070403,0.01527172,0.00907635,0.00701220,0.00852400,0.00416320,0.00690794,0.01771654,0.00707851,0.00977051,-0.00509449,0.00849257,0.00097498,0.01995476,0.03068502,0.01448539,0.00939282,0.00921659,0.00907407,0.01390758,0.00974513,0.00817578,0.00462072,0.01173184,0.00017364,0.01325130,-0.00191604,0.00191656,0.00768738,0.01470921,0.01456782
20070404,-0.00664192,-0.00243386,-0.01271571,0.00066726,0.00304035,0.00268456,0.00967118,-0.00106496,0.00945095,-0.00148662,0.00407018,-0.00616883,-0.00458309,-0.00334321,0.00526052,0.00110779,0.00399543,0.01064415,0.00000000,-0.00049493,-0.00025342,0.02261403,0.01104362,0.00520833,0.00513779,0.00244328,0.00618011,-0.00286078,-0.00111508,-0.00478622
20070405,0.01297935,0.00434921,0.01011960,-0.00088909,-0.00082667,0.00089246,-0.00153257,0.00405117,0.00133749,0.00314309,0.00139782,-0.00228683,-0.00410911,0.00104030,0.01694493,0.00320903,0.01023309,0.00435809,0.00420354,0.01213172,0.00380228,0.00187406,0.00600765,-0.00086356,0.00139405,-0.00087047,0.00628839,0.01051960,0.00468855,0.00288554
20070409,0.00330033,-0.01087875,0.00151791,0.00022247,0.00248207,-0.00163472,0.00537222,0.00021236,0.00222618,0.00676121,-0.00544389,-0.00687623,0.00487174,-0.00699879,-0.01102671,0.00110302,0.02644907,0.00126559,0.00484688,0.01541096,0.00252525,0.00074822,-0.00542888,-0.01071737,0.00603248,0.00418191,-0.00377852,0.00000000,0.00400000,-0.00223785
20070410,-0.00251548,0.00640683,0.00303122,0.00422598,0.00825309,0.02054183,-0.00801527,0.01592357,0.00888494,0.01506962,0.00996491,0.00263765,0.00049471,-0.00365221,-0.01511397,-0.00165271,0.02905702,0.00072228,0.00482350,-0.00385449,0.00453401,-0.00598131,0.01528384,0.00663987,0.00000000,-0.00069408,0.02188184,-0.00536278,-0.01084551,0.00128164
20070411,0.00465567,-0.01761273,-0.01299486,-0.01107420,-0.00300136,-0.00627188,-0.00769527,-0.01149425,-0.00858653,-0.00306600,-0.01028349,0.00197304,-0.01013647,-0.00422294,0.00025157,-0.01346430,-0.01012254,0.00342837,-0.00196378,0.00290206,-0.00451354,-0.01053027,-0.01397849,-0.00312446,0.00184502,-0.00277826,-0.00199857,-0.01110054,-0.01387335,-0.00704000
20070412,0.00714424,-0.00432012,-0.00704225,-0.00447928,0.00164204,0.00807280,0.00697945,-0.00295983,0.00044415,0.01812884,0.00814378,0.00689202,0.00059943,0.00615676,0.00980885,0.00525786,0.00107643,0.00053947,0.00109314,0.00409935,0.01561713,0.01558343,0.00599782,0.01497475,0.01611418,0.00766150,0.03175511,-0.00032072,-0.00022691,0.00515630
